consensusTime,searchTime,onChainTime,seqId,roundId,comId
5.960754893s,1.000874333s,3m22.027973328s,543,0,0
6.683874786s,1.243070837s,6m7.060101957s,305,0,0
5.964756385s,1.11666382s,2m47.180974286s,597,0,0
6.365700163s,1.421867144s,2m46.777414103s,599,0,0
5.449130117s,1.227204654s,5m27.044115137s,367,0,0
6.571306931s,1.464659124s,2m26.230034955s,629,0,0
6.418092818s,1.419155739s,2m39.835772259s,607,0,0
6.302680501s,1.101491538s,8m5.831501593s,132,0,0
5.999847944s,1.140899457s,4m24.684432798s,455,0,0
6.647424618s,1.440996085s,1m58.56882869s,668,0,0
6.178370336s,1.002899406s,7m52.024676385s,151,0,0
6.849722393s,1.309589308s,8m5.279048275s,136,0,0
5.632900052s,1.029800651s,8m26.716991962s,101,0,0
6.312552312s,1.488674964s,7m2.777329223s,224,0,0
6.238272703s,1.105914509s,9m35.167463434s,2,0,0
5.870657833s,1.30952727s,1m38.456036349s,700,0,0
6.608756901s,1.305812833s,9m21.108719537s,30,0,0
6.127146589s,1.332685627s,7m16.911352713s,205,0,0
6.341646773s,1.110547823s,7m30.863652944s,183,0,0
6.982201959s,1.49018583s,2m5.22291938s,660,0,0
7.085717184s,1.493601194s,5m46.005195244s,331,0,0
6.910408604s,1.373685762s,8m5.217086422s,133,0,0
5.482847211s,1.181341164s,7m24.442233317s,193,0,0
6.286257416s,1.373112439s,7m16.752885358s,208,0,0
6.549094227s,1.000077117s,3m0.26189061s,580,0,0
6.731257164s,1.304536069s,2m19.11386524s,634,0,0
5.762326824s,1.04091149s,2m47.384061709s,600,0,0
6.884376454s,1.211614697s,7m2.197822076s,229,0,0
6.714507411s,1.2040885s,4m31.052524272s,446,0,0
6.053801181s,1.164691397s,2m40.205731784s,609,0,0
6.087278777s,1.139074263s,3m56.666215355s,494,0,0
6.79987699s,1.41508852s,6m0.013453614s,316,0,0
7.250174172s,1.28934726s,3m13.883890308s,554,0,0
6.68512707s,1.209871321s,6m41.625988949s,259,0,0
6.576893799s,1.456230258s,5m19.124118109s,371,0,0
6.557675412s,1.058572993s,6m14.13693304s,292,0,0
6.456964446s,1.204554223s,805.922254ms,836,0,0
6.411408672s,1.208079544s,1m31.224813149s,702,0,0
6.148609026s,1.240213297s,4m38.306114001s,436,0,0
6.038464511s,1.130728551s,2m19.811371285s,632,0,0
6.497145308s,1.165279879s,8m32.751361637s,98,0,0
6.26667908s,1.262606606s,3m14.862520133s,555,0,0
6.949663151s,1.471115194s,2m25.850332262s,625,0,0
5.803086049s,1.472545829s,43.489618133s,775,0,0
6.620204598s,1.21006559s,6m20.827724202s,287,0,0
6.90960564s,1.283667012s,8m59.911206126s,59,0,0
6.303511563s,1.25879011s,4m58.743375683s,407,0,0
6.783050394s,1.189051963s,5m25.709061856s,364,0,0
6.187986377s,1.42179657s,4m10.298684902s,480,0,0
6.169544414s,1.116068106s,7m37.931698157s,180,0,0
6.420772965s,1.356559427s,35.721389432s,788,0,0
6.240832541s,1.163247043s,7m2.847495374s,230,0,0
6.302519622s,1.336280397s,2m33.363274375s,616,0,0
5.94628099s,1.404710391s,8m19.550581551s,111,0,0
6.251634056s,1.169670537s,6m7.490091998s,309,0,0
7.031791935s,1.335813248s,42.261048673s,776,0,0
5.940886332s,1.155018128s,5m54.080562087s,322,0,0
6.639561115s,1.347074718s,7m30.569723593s,187,0,0
6.310861186s,1.361722858s,2m53.710501843s,586,0,0
6.38987336s,1.078626692s,8m19.113120226s,120,0,0
5.985503522s,1.317596372s,2m54.035925754s,589,0,0
6.458234576s,1.314605745s,7m16.586719278s,204,0,0
6.14365735s,1.349516349s,1m52.408478575s,679,0,0
6.800583289s,1.396092216s,1m51.751585217s,671,0,0
6.515029703s,1.360656695s,3m0.301332239s,578,0,0
7.01593034s,1.480941831s,4m44.453936053s,430,0,0
6.764683058s,1.456066719s,7m30.444928312s,186,0,0
6.398828263s,1.02276616s,4m58.648486489s,404,0,0
5.739613047s,1.453593935s,8m26.619052665s,105,0,0
5.790284073s,1.080345012s,8m33.465689495s,94,0,0
6.872940755s,1.371031934s,2m32.800513142s,615,0,0
6.3925077s,1.381092101s,2m5.810836528s,657,0,0
6.741939365s,1.374071558s,21.64207227s,809,0,0
6.512578403s,1.290768533s,7m23.411629312s,200,0,0
6.136408541s,1.218430546s,9m14.812581839s,31,0,0
6.426955834s,1.181568295s,4m38.019111454s,438,0,0
6.444432066s,1.212579578s,2m46.699900195s,596,0,0
6.290780597s,1.365594424s,3m21.699163007s,549,0,0
6.077695719s,1.434400705s,4m24.618291749s,460,0,0
6.026707032s,1.037937722s,4m59.012939163s,406,0,0
5.869260955s,1.085650384s,15.507828094s,814,0,0
6.276237051s,1.467689385s,6m35.31661113s,264,0,0
6.097415546s,1.017106706s,1m52.457896257s,677,0,0
6.670856134s,1.198674615s,8m25.680225414s,106,0,0
6.35824669s,1.419052286s,906.542895ms,837,0,0
6.45586398s,1.160040699s,5m46.633951194s,340,0,0
6.345990044s,1.366403778s,7m30.854692355s,181,0,0
6.553790605s,1.337850066s,5m5.383565895s,391,0,0
5.964660033s,1.377866169s,5m47.125177295s,337,0,0
5.783303494s,1.262069599s,6m21.65945967s,290,0,0
6.008233048s,1.144348339s,1m38.31736243s,697,0,0
5.995423348s,1.31002592s,1m17.838578855s,730,0,0
6.417360346s,1.130870701s,7m37.678741932s,171,0,0
6.298535011s,1.477949628s,1m38.027094625s,695,0,0
6.109719779s,1.078419012s,7m16.929948607s,207,0,0
7.145922798s,1.336536802s,1m9.983589747s,731,0,0
6.423326098s,1.137964062s,4m51.789169225s,418,0,0
6.650987557s,1.380021409s,6m48.304735609s,241,0,0
5.689258075s,1.030020274s,9m35.718547198s,4,0,0
6.653477149s,1.43334948s,6m34.936258123s,266,0,0
6.334853415s,1.438302816s,3m35.484645652s,525,0,0
6.055227159s,1.237600081s,4m45.432521662s,428,0,0
6.727098758s,1.162007713s,9m7.125102711s,47,0,0
7.189528036s,1.393458655s,3m48.656447835s,507,0,0
6.429151347s,1.468662942s,3m21.586174967s,542,0,0
5.72732499s,1.059320173s,8m19.773661754s,112,0,0
6.553907237s,1.455692113s,1m17.303308671s,729,0,0
6.234109643s,1.329016493s,4m24.457272443s,451,0,0
5.826441693s,1.206091966s,1m18.011401782s,724,0,0
6.7989276s,1.490144976s,7m30.409009526s,188,0,0
6.891990339s,1.466917171s,7m37.208196693s,176,0,0
6.685644162s,1.028603926s,1m37.644708559s,693,0,0
6.869570731s,1.487102541s,2m53.151339285s,587,0,0
6.353446914s,1.006138149s,3m14.779320204s,553,0,0
7.007097403s,1.300538486s,6m34.58212296s,265,0,0
6.093011917s,1.162827911s,5m5.840474423s,399,0,0
5.250974847s,1.046236102s,3m8.631599499s,563,0,0
6.669720969s,1.183454s,49.430153072s,765,0,0
6.758430906s,1.39657811s,2m26.041439443s,627,0,0
6.019693105s,1.217233633s,7m59.202556206s,143,0,0
6.741017847s,1.117462704s,1m44.666468242s,685,0,0
6.799698133s,1.383549907s,6m13.893458668s,298,0,0
5.847036679s,1.151021827s,4m31.918627016s,450,0,0
5.539895012s,1.016145566s,8m6.593282373s,137,0,0
6.825571365s,1.258784875s,4m58.215395167s,408,0,0
6.687786416s,1.351423386s,3m56.091628757s,498,0,0
6.586261309s,1.026292338s,14.805489196s,812,0,0
