consensusTime,searchTime,onChainTime,seqId,roundId,comId
8.330982862s,1.000070575s,10m1.550614188s,31,0,0
9.565515702s,1.257732661s,1m0.080693093s,580,0,0
10.258464715s,1.438707587s,9m39.580506697s,52,0,0
9.822575458s,1.423001491s,2m51.346096877s,470,0,0
8.983707448s,1.331073811s,40.965334595s,592,0,0
9.874949065s,1.364305768s,50.20533501s,582,0,0
8.881061928s,1.020591774s,9m10.486466111s,88,0,0
8.568333594s,1.078628774s,7m11.253471494s,202,0,0
8.669232816s,1.113764732s,1.206513435s,632,0,0
9.382689885s,1.266492939s,9.861069124s,624,0,0
8.689158129s,1.341998815s,41.258845901s,598,0,0
8.842532625s,1.15509948s,5m32.450289343s,310,0,0
9.397211732s,1.144678184s,9m30.182518003s,61,0,0
8.58008905s,1.33286676s,3m42.259680243s,418,0,0
8.612272135s,1.205659479s,5m22.478718487s,317,0,0
8.558554728s,1.387525341s,4m2.082400316s,396,0,0
9.027753422s,1.169319622s,4m32.281244317s,370,0,0
8.81587773s,1.231588218s,4m42.235482728s,357,0,0
8.964577239s,1.299392697s,910.96997ms,637,0,0
8.929039485s,1.244064142s,5m51.875946597s,290,0,0
8.233817413s,1.251745348s,4m52.385370814s,346,0,0
8.289301406s,1.227521768s,6m41.603240779s,231,0,0
8.670219003s,1.053758978s,7m11.151443316s,209,0,0
9.814843136s,1.391941887s,2m10.206260784s,501,0,0
9.414022938s,1.211062816s,2m10.606690319s,505,0,0
9.247886006s,1.190835789s,1m30.792305203s,542,0,0
9.312182193s,1.40685186s,2m10.708683737s,503,0,0
7.991889308s,1.27495226s,1m32.062803963s,550,0,0
8.705223568s,1.001655799s,6m21.756082956s,259,0,0
8.99172864s,1.113370518s,40.956738256s,597,0,0
7.638140533s,1.09804537s,8m52.043619878s,108,0,0
8.70410082s,1.025337972s,6m21.757252968s,256,0,0
8.680583091s,1.280159362s,51.415621027s,589,0,0
9.603916958s,1.031969762s,3m51.039257614s,401,0,0
9.198969699s,1.324280473s,2m20.873345798s,498,0,0
8.219735472s,1.455608481s,2m31.940365591s,489,0,0
9.523721774s,1.132076279s,2m51.66146327s,464,0,0
9.138578452s,1.404230826s,4m21.822052739s,380,0,0
8.518052771s,1.48930004s,2m21.554151144s,491,0,0
8.805365632s,1.351212523s,2m21.265287261s,497,0,0
8.613023121s,1.063157436s,7m40.220157831s,172,0,0
8.454724407s,1.124214076s,1m12.037691067s,561,0,0
8.846016486s,1.213123098s,8m0.995023878s,157,0,0
8.82085921s,1.008023087s,10m11.417166302s,22,0,0
8.890600302s,1.47833482s,9m30.706614088s,64,0,0
8.366555713s,1.475247393s,1.509967045s,638,0,0
8.148360904s,1.068906492s,3m2.819646585s,460,0,0
9.492287135s,1.050920643s,7m29.743095601s,189,0,0
8.283338011s,1.3569993s,9m31.316539685s,69,0,0
9.007920636s,1.294110367s,8m40.802775718s,117,0,0
8.397252026s,1.133024311s,20.928985045s,615,0,0
8.731996131s,1.425992046s,8m31.011868356s,127,0,0
9.053190233s,1.420861763s,5m51.77246964s,288,0,0
10.270533303s,1.204685094s,7m59.575166034s,151,0,0
9.890644933s,1.322062796s,97ns,640,0,0
8.500779224s,1.437017656s,10.772578078s,630,0,0
9.167984383s,1.381507393s,2m41.410887853s,473,0,0
9.292524997s,1.119837627s,50.82032592s,586,0,0
8.493222689s,1.171096348s,4m12.172712854s,385,0,0
9.438494642s,1.13593995s,2m10.614659596s,508,0,0
10.630491466s,1.425369247s,39.350158811s,600,0,0
8.947137449s,1.365044493s,3m21.969817909s,436,0,0
10.059609872s,1.453095714s,6m49.924469101s,228,0,0
9.725896069s,1.312548223s,8m20.416804629s,138,0,0
9.940022904s,1.423001716s,2m51.260540903s,469,0,0
8.468250283s,1.223070524s,5m2.87048087s,334,0,0
9.317737815s,1.314417095s,8m50.396899754s,102,0,0
8.887077464s,1.493571431s,8m10.975010476s,148,0,0
8.519039049s,1.225030847s,8m41.302643998s,113,0,0
9.871287134s,1.167524564s,7m59.981977127s,156,0,0
8.210722371s,1.248387325s,7m40.637840009s,173,0,0
9.564106307s,1.19494036s,4m21.413160519s,372,0,0
8.570704197s,1.215034756s,7m11.283937056s,208,0,0
10.17397755s,1.405836888s,6m0.837965438s,278,0,0
8.539338695s,1.483336766s,6m12.290677989s,263,0,0
9.600656935s,1.458586384s,7m39.248786888s,171,0,0
10.072442292s,1.374034858s,2m40.506949687s,480,0,0
8.541646805s,1.010057656s,7m20.712077091s,198,0,0
10.068598567s,1.309479669s,5m41.326677926s,298,0,0
8.654420368s,1.32374757s,9m20.505337169s,72,0,0
9.367499264s,1.211064674s,29.983009796s,607,0,0
8.601973461s,1.062899326s,20.737299924s,616,0,0
8.450789404s,1.312057441s,10m31.665626567s,4,0,0
9.827336927s,1.490592886s,6m40.097717364s,233,0,0
9.544388464s,1.130224967s,1m40.438970253s,531,0,0
8.642571769s,1.415672033s,2m11.411055213s,509,0,0
