consensusTime,searchTime,onChainTime,seqId,roundId,comId
6.0491526s,1.0165657s,4.3295162s,385,40,0
6.6585463s,1.3207336s,3.7238526s,384,40,0
6.2484715s,1.3111851s,11.0762095s,372,40,0
6.6665836s,1.4327408s,3.7264847s,388,40,0
6.3574985s,1.413826s,10.9701256s,377,40,0
6.7626224s,1.2609145s,10.5691796s,371,40,0
6.6665652s,1.1238207s,10.6698873s,379,40,0
6.8896788s,1.3207336s,3.5267193s,387,40,0
5.8733386s,1.190707s,11.4800521s,374,40,0
6.7784529s,1.492652s,10.5749378s,378,40,0
6.9994094s,1.2637312s,3.4237276s,390,40,0
6.4838065s,1.0510927s,9.459594s,398,42,0
6.6511869s,1.0398928s,2.4194124s,401,42,0
6.7919732s,1.4209337s,9.1584458s,391,42,0
6.598191s,1.3611642s,9.3626805s,395,42,0
6.5697242s,1.3138739s,2.5169432s,402,42,0
6.3739075s,1.4852108s,2.7164733s,408,42,0
5.978309s,1.4987848s,3.1222034s,410,42,0
6.328072s,1.0596684s,9.6609926s,396,42,0
6.6945615s,1.1236625s,2.4166871s,407,42,0
6.4385676s,1.4787979s,9.5650341s,393,42,0
6.2508159s,1.1235759s,9.7566562s,394,42,0
6.8161094s,1.2295601s,2.3176985s,403,42,0
5.9495804s,1.4316555s,10.0675501s,400,42,0
6.0579703s,1.0094936s,9.9657521s,392,42,0
5.6257197s,1.0894545s,3.5201867s,404,42,0
5.7335271s,1.3488017s,3.4219063s,405,42,0
6.877816s,1.4446984s,9.1558824s,399,42,0
6.469327s,1.2455636s,9.5643714s,397,42,0
7.1447292s,1.3615001s,2.0136146s,409,42,0
6.5418854s,1.2507853s,2.6164584s,406,42,0
6.3010157s,1.1148596s,202.3096ms,423,43,0
6.8822498s,1.2964675s,6.5424061s,419,43,0
5.9093982s,1.0264591s,603.0692ms,427,43,0
6.5092534s,1.2430379s,6.9390051s,416,43,0
5.3014719s,1.1396884s,8.1467866s,411,43,0
6.8159538s,1.3774706s,6.6365544s,412,43,0
6.8159538s,1.3338016s,6.6371886s,414,43,0
6.5177228s,1.2891452s,6.9421992s,417,43,0
6.9213306s,1.300718s,6.5385914s,415,43,0
5.5454783s,1.0767186s,1.0061602s,428,43,0
6.2357276s,1.2835088s,7.2443037s,413,43,0
6.4468232s,1.3010381s,7.0470512s,420,43,0
6.3728794s,1.4977657s,201.4019ms,425,43,0
6.5769363s,1.1919288s,0s,424,43,0
5.9750286s,1.2405073s,605.1361ms,426,43,0
5.9566339s,1.1724674s,7.550027s,418,43,0
6.1935144s,1.2499224s,402.4159ms,429,43,0
6.614247s,1.4937359s,0s,421,43,0
6.6624721s,1.3698169s,0s,430,43,0
6.6720994s,1.3909544s,0s,422,43,0
6.6563801s,1.1762262s,6.2386617s,437,45,0
6.6614515s,1.4815144s,6.2431483s,436,45,0
6.255008s,1.1887119s,0s,445,45,0
6.280541s,1.4779358s,6.6390177s,440,45,0
6.588031s,1.3986449s,6.3378431s,435,45,0
6.5864262s,1.3658s,6.3394479s,439,45,0
5.9644584s,1.2439415s,301.6197ms,448,45,0
5.4684114s,1.0857169s,805.0691ms,443,45,0
6.5952913s,1.0154301s,6.3470581s,431,45,0
6.0886262s,1.1639407s,201.1645ms,446,45,0
6.3272808s,1.3803199s,6.6456978s,434,45,0
6.1414559s,1.3369391s,6.8412015s,438,45,0
5.9427842s,1.473782s,7.0431471s,433,45,0
6.5448506s,1.0836483s,6.4407285s,432,45,0
6.4205721s,1.286429s,331µs,450,45,0
6.523462s,1.18s,0s,447,45,0
6.6880669s,1.0718444s,0s,441,45,0
6.0859714s,1.4666408s,5.8331088s,455,47,0
6.0813519s,1.302096s,5.8377283s,458,47,0
6.3795855s,1.2238321s,5.5394947s,459,47,0
6.0859714s,1.2665344s,5.8331088s,460,47,0
6.2793349s,1.0656589s,5.6397453s,456,47,0
5.9904751s,1.3798971s,5.9343466s,451,47,0
5.3940438s,1.0278485s,6.5445124s,452,47,0
6.4023627s,1.0175239s,5.5358359s,453,47,0
7.1397417s,1.4547063s,11.9737164s,444,47,0
6.4136651s,1.2467249s,5.5364533s,457,47,0
6.9349602s,1.177744s,5.0324546s,454,47,0
7.1628273s,1.2797204s,11.9712895s,449,47,0
6.9946459s,1.3423762s,12.1750024s,442,47,0
6.9433987s,1.260468s,2.8227616s,476,49,0
6.4449635s,1.4440023s,3.3211968s,475,49,0
7.0162124s,1.4315703s,9.7661603s,462,49,0
6.2214954s,1.343897s,10.5685645s,466,49,0
5.6435882s,1.2296459s,4.1302593s,479,49,0
6.424243s,1.3995366s,10.3723515s,463,49,0
6.5265877s,1.3686706s,10.2700068s,467,49,0
5.7503244s,1.1747784s,4.0300577s,471,49,0
6.5297189s,1.0146259s,10.27067s,464,49,0
6.0736534s,1.0248051s,3.7254959s,478,49,0
6.8466532s,1.4079073s,9.9687085s,469,49,0
6.1568883s,1.1582952s,10.6612465s,470,49,0
5.8840693s,1.0449432s,3.9248195s,474,49,0
6.6720049s,1.4506949s,10.1599043s,468,49,0
6.3004283s,1.4003502s,3.5250424s,473,49,0
6.2163726s,1.4947033s,3.6271958s,477,49,0
6.4935659s,1.1538105s,10.3662149s,465,49,0
5.9847697s,1.0357289s,10.8750111s,461,49,0
6.6246691s,1.3699622s,3.219445s,480,49,0
5.9235768s,1.0811196s,3.9286243s,472,49,0
