committee,daon,decentruth,seenfeed
466.31083170800014,1842.7625962069997,4663.09156527,3441.695880467
463.779277481,1846.9688806109996,4674.560681429,3450.312187369
464.24427995599984,1851.6069263229992,4686.069753354999,3458.97754297
467.7609215279999,1855.9306008569995,4697.113079304999,3467.17003329
470.88625735800014,1860.2730546039995,4708.670522162999,3475.275468025
468.2459394389999,1864.9841257419996,4720.312612403999,3483.56650317
468.40108477599983,1869.3334946999996,4731.408710554999,3491.833990838
472.0714527459999,1874.0367975699996,4742.533971818999,3500.248634176
475.19860390400015,1878.4230163269997,4753.271971732999,3508.451251513
472.9433829139999,1882.7536982259996,4764.939919889999,3517.128597619
473.0820472439999,1887.3082908279996,4776.344609995999,3525.865506307
476.6714904179999,1891.6953808229996,4787.887885552999,3534.611400593
479.56337307200016,1895.9668916129997,4799.338713556999,3542.957812095
477.4171748669999,1900.4676181679995,4810.909812876999,3551.318512978
477.6573182429999,1904.8962709469995,4822.289854759999,3559.304218462
481.1939573619998,1909.3164785589995,4833.566425824999,3567.652625041
483.93307826800014,1913.9096327939997,4845.089420455999,3575.981762788
481.8656034389999,1918.4988090689997,4856.463345170999,3584.646430826
482.26221361499984,1923.1682462419997,4868.389752022998,3593.010620936
485.90730707499984,1927.4821672979997,4879.612762448998,3601.426499634
488.31780966900016,1931.7340800039997,4890.732034727998,3609.90150537
486.277578845,1936.3236499439995,4901.886775696999,3618.509116073
486.4790505679998,1940.8255491549996,4913.015224407998,3626.773654465
490.4586001779998,1945.1145304639997,4923.937200958998,3635.369949637
492.84719190400017,1949.517599022,4935.241438033998,3643.817594101
490.6387792769999,1954.1265223709995,4946.570345207998,3652.422470528
491.09923928599983,1958.6675000879995,4958.201913757998,3660.8672093259993
494.8139217579998,1963.3629702319995,4969.183915424998,3669.081930544999
497.4614722200002,1967.848060452,4980.250044064998,3677.3943664979993
494.9243416899999,1972.4262423699995,4991.544149493999,3685.903641242999
495.60270524199984,1976.916083971,5003.004720367999,3694.2501328059993
499.4215476079998,1981.081104065,5014.234248375999,3702.898006821
501.9849217630002,1985.820116109,5026.175081258999,3711.150048006
499.5203426739999,1990.386390467,5037.628543710999,3719.867468328
500.1805621309998,1995.025340626,5049.267027156999,3728.094041474
503.5781490769998,1999.436998303,5060.850175877999,3736.498273305
506.5772761930002,2003.963323733,5072.071172871999,3745.061151156
504.3897690489999,2008.498782108,5083.120198720999,3753.084865519
504.5592825269998,2012.767596778,5094.643167784999,3761.461766191
508.08164819599983,2017.405056739,5105.917260150999,3769.711888094
511.1859761480002,2021.987746783,5117.643777351999,3777.839971986
508.8416522159999,2026.353558397,5128.803412818999,3786.295827818
509.1896520299998,2030.834732293,5140.050180238,3795.132249342
512.4751287049999,2035.09939515,5151.491697177999,3803.319655823
516.0289066760002,2039.712576523,5163.034047505,3812.055024478
513.3719593469999,2044.424234368,5174.317715282999,3820.354157707
513.5497490329998,2048.850979501,5185.561559106999,3828.666708972
516.8849634479999,2053.49158666,5196.756365797999,3836.836195256
520.5638607400002,2058.110047558,5208.392540769999,3845.006209486
517.8697694169999,2062.726433333,5219.900305131999,3852.9540505189993
517.6430654839997,2067.053714124,5230.835061246999,3861.262839028999
521.2581672919999,2071.557506762,5242.273780645998,3869.817724179999
