time,committee,daon,decentruth,seenfeed,deepthought
2166,0.0,14339.0,18202.0,17480.0,19970
2171,0.0,14339.0,18202.0,17480.0,19970
2176,0.0,14339.0,18202.0,17480.0,19970
2181,0.0,14339.0,18202.0,17480.0,19970
2186,0.0,14339.0,18202.0,17480.0,19970
2191,0.0,14339.0,18202.0,17480.0,19970
2196,0.0,14339.0,18202.0,17480.0,19970
2201,0.0,14339.0,18202.0,17480.0,19970
2206,0.0,14339.0,18202.0,17480.0,19970
2211,0.0,14339.0,18202.0,17480.0,19970
2216,0.0,14339.0,18202.0,17480.0,19970
2221,0.0,14339.0,18202.0,17480.0,19970
2226,0.0,14339.0,18202.0,17480.0,19970
2231,0.0,14339.0,18202.0,17480.0,19970
2236,0.0,14339.0,18202.0,17480.0,19970
2241,0.0,14339.0,18202.0,17480.0,19970
2246,0.0,14339.0,18202.0,17480.0,19970
2251,0.0,14339.0,18202.0,17480.0,19970
2256,0.0,14339.0,18202.0,17480.0,19970
2261,0.0,14339.0,18202.0,17480.0,19970
2266,0.0,14339.0,18202.0,17480.0,19970
2271,0.0,14339.0,18202.0,17480.0,19970
2276,0.0,14339.0,18202.0,17480.0,19970
2281,0.0,14339.0,18202.0,17480.0,19970
2286,0.0,14339.0,18202.0,17480.0,19970
2291,0.0,14339.0,18202.0,17480.0,19970
2296,0.0,12440.0,18202.0,17480.0,19970
2301,0.0,12440.0,18202.0,16690.0,19970
2306,0.0,12440.0,18202.0,16690.0,19970
2311,0.0,12440.0,18202.0,16690.0,19970
2316,0.0,12440.0,18202.0,16690.0,19970
2321,0.0,12440.0,18202.0,16690.0,19970
2326,0.0,12440.0,18202.0,16690.0,19970
2331,0.0,12440.0,18202.0,16690.0,19970
2336,0.0,12440.0,18202.0,16690.0,19970
2341,0.0,12440.0,17660.0,16690.0,19970
2346,0.0,12440.0,17660.0,16690.0,19970
2351,0.0,12440.0,17660.0,16690.0,19970
2356,0.0,12440.0,17660.0,16690.0,19970
2361,0.0,12440.0,17660.0,16690.0,19970
2366,0.0,12440.0,17660.0,16690.0,19970
2371,0.0,12440.0,17660.0,16690.0,19970
2376,0.0,12440.0,17660.0,16690.0,19970
2381,0.0,12440.0,17660.0,16690.0,19970
2386,0.0,12440.0,17660.0,16690.0,19970
2391,0.0,12440.0,17660.0,16690.0,19970
2396,0.0,12440.0,17660.0,16690.0,19970
2401,0.0,12440.0,17660.0,16690.0,19970
2406,0.0,12440.0,17660.0,16690.0,19970
2411,0.0,12440.0,17660.0,16690.0,19970
2416,0.0,12440.0,17660.0,16690.0,19970
2421,0.0,12440.0,17660.0,16690.0,19970
2426,0.0,12440.0,17660.0,16690.0,19970
2431,0.0,12440.0,17660.0,16690.0,19970
2436,0.0,12440.0,17660.0,16690.0,19970
2441,0.0,12440.0,17660.0,16690.0,19970
2446,0.0,12440.0,17660.0,16690.0,19970
2451,0.0,12440.0,17660.0,16690.0,19970
2456,0.0,12440.0,17660.0,16690.0,19970
2461,0.0,12440.0,17660.0,16690.0,19970
2466,0.0,12440.0,17660.0,16690.0,19970
2471,0.0,12440.0,17660.0,16690.0,19970
2476,0.0,12440.0,17660.0,16690.0,19970
2481,0.0,12440.0,17660.0,16690.0,19970
2486,0.0,12440.0,17660.0,16690.0,19970
2491,0.0,12440.0,17660.0,16690.0,19970
2496,0.0,12440.0,17660.0,16690.0,19970
2501,0.0,12440.0,17660.0,16690.0,19970
2506,0.0,12440.0,17660.0,16690.0,19970
2511,0.0,12440.0,17660.0,16690.0,19970
2516,0.0,12440.0,17660.0,16690.0,19970
2521,0.0,12440.0,17660.0,16690.0,19970
2526,0.0,12440.0,17660.0,16690.0,19970
