committee,seqId,daon,decentruth,seenfeed,deepthought
1.4599323s,168.0,1.003387383s,1.15497995s,1.2817174s,1.325064414s
1.3037929s,169.0,1.277071241s,1.276969982s,1.4280449s,1.128272654s
1.3096577s,170.0,1.442772792s,1.171442587s,1.0446882s,1.303666402s
1.08085s,171.0,1.293202771s,1.100180402s,1.3838012s,1.361468069s
1.1301601s,172.0,1.426665099s,1.459106346s,1.3603136s,1.125337462s
1.3992614s,173.0,1.017844423s,1.279724353s,1.3965941s,1.364646758s
1.2135803s,174.0,1.349621084s,1.16723611s,1.4233533s,1.131513572s
1.4181235s,175.0,1.28878541s,1.315647409s,1.2241406s,1.320935469s
1.1740908s,176.0,1.233134338s,1.11102343s,1.2765903s,1.331074435s
1.2142656s,177.0,1.481578151s,1.018338374s,1.1135143s,1.416099165s
1.0524415s,178.0,1.164781342s,1.155802747s,1.3265763s,1.345267123s
1.3738097s,179.0,1.335146038s,1.478587143s,1.3153966s,1.389882668s
1.3327297s,180.0,1.466280697s,1.088928462s,1.4458308s,1.076147552s
1.3192425s,181.0,1.409666112s,1.150337197s,1.0190349s,1.419053778s
1.4952871s,182.0,1.478758386s,1.366966054s,1.2976275s,1.36691644s
1.2103029s,183.0,1.112212767s,1.47954478s,1.3376926s,1.223930655s
1.3182723s,184.0,1.347064172s,1.300346024s,1.0579138s,1.149630025s
1.4956198s,185.0,1.403012591s,1.223881901s,1.211759s,1.114205293s
1.3398566s,186.0,1.127608154s,1.014073106s,1.183687s,1.437072947s
1.3816286s,187.0,1.088874691s,1.094344128s,1.4138424s,1.137418681s
1.3707774s,188.0,1.060831264s,1.124138864s,1.1399063s,1.268321342s
1.2846486s,189.0,1.343768323s,1.264076051s,1.1448776s,1.260049251s
1.2127105s,190.0,1.497455233s,1.112861967s,1.1213129s,1.28761644s
1.325875s,191.0,1.466023805s,1.478281249s,1.4277364s,1.310552049s
1.1806785s,192.0,1.430708349s,1.142788048s,1.2506382s,1.389839066s
1.1419384s,193.0,1.05662776s,1.270292422s,1.3918396s,1.444029058s
1.4564604s,194.0,1.315332783s,1.32948531s,1.4147009s,1.46023588s
1.3714572s,195.0,1.373717769s,1.372656976s,1.0320634s,1.1249489s
1.175912s,196.0,1.176677997s,1.161016932s,1.4957966s,1.11077336s
1.2083203s,197.0,1.499030416s,1.391842711s,1.3225756s,1.030265804s
1.2216974s,198.0,1.406645425s,1.028093614s,1.4324519s,1.225147802s
1.4255457s,199.0,1.227783158s,1.124579469s,1.0122945s,1.281391049s
1.3805483s,200.0,1.078617934s,1.443024236s,1.4357275s,1.062546231s
1.41256s,201.0,1.061548305s,1.324155883s,1.139708s,1.000082384s
1.4321288s,202.0,1.416681547s,1.141362722s,1.3537388s,1.39610733s
1.0099552s,203.0,1.300160427s,1.049877245s,1.3005433s,1.082851161s
1.4191061s,204.0,1.154429927s,1.494388897s,1.4339005s,1.36958883s
1.1749162s,205.0,1.433157738s,1.394032385s,1.1228281s,1.016354655s
1.2749572s,206.0,1.078033435s,1.46853963s,1.2187329s,1.385847893s
1.1876142s,207.0,1.300155575s,1.47184871s,1.3454302s,1.231306195s
1.1216493s,208.0,1.136934522s,1.078078087s,1.0895808s,1.058545873s
1.406792s,209.0,1.498352654s,1.282957453s,1.4095693s,1.220065962s
1.4297315s,210.0,1.224377628s,1.005670787s,1.3603728s,1.448380182s
1.1496164s,211.0,1.251883867s,1.281451695s,1.4192604s,1.332418119s
