time,handled_num,q_len,comId
412661,6200,13800,0
412666,6200,13800,0
412671,6200,13800,0
412676,6200,13800,0
412681,6200,13800,0
412686,6200,13800,0
412691,6200,13800,0
412696,6200,13800,0
412701,6200,13800,0
412706,6200,13800,0
412711,6200,13800,0
412716,6200,13800,0
412721,6200,13800,0
412726,6200,13800,0
412731,6200,13800,0
412736,6200,13800,0
412741,6200,13800,0
412746,6200,13800,0
412751,6200,13800,0
412756,6200,13800,0
412761,6200,13800,0
412766,6200,13800,0
412771,6200,13800,0
412776,6200,13800,0
412781,6200,13800,0
412786,6200,13800,0
412791,6200,13800,0
412796,6200,13800,0
412801,6200,13800,0
412806,6200,13800,0
412811,6200,13800,0
412816,6200,13800,0
412821,6200,13800,0
412826,6200,13800,0
412831,6200,13800,0
412836,6200,13800,0
412841,6200,13800,0
412846,6200,13800,0
412851,6200,13800,0
412856,6200,13800,0
412861,6200,13800,0
412866,6200,13800,0
412871,6200,13800,0
412876,6200,13800,0
412881,6200,13800,0
412886,6200,13800,0
412891,6201,13799,0
412896,6202,13798,0
412901,6202,13798,0
412906,6202,13798,0
412911,6203,13797,0
412916,6203,13797,0
412921,6203,13797,0
412926,6204,13796,0
412931,6204,13796,0
412936,6204,13796,0
412941,6204,13796,0
412946,6204,13796,0
412951,6205,13795,0
412956,6205,13795,0
412961,6205,13795,0
412966,6205,13795,0
412971,6205,13795,0
412976,6205,13795,0
412981,6205,13795,0
412986,6205,13795,0
412991,6206,13794,0
412996,6207,13793,0
413001,6207,13793,0
413006,6208,13792,0
413011,6208,13792,0
413016,6208,13792,0
413021,6210,13790,0
413026,6210,13790,0
413031,6210,13790,0
413036,6210,13790,0
413041,6210,13790,0
413046,6210,13790,0
413051,6210,13790,0
413056,6210,13790,0
413061,6210,13790,0
413066,6210,13790,0
413071,6210,13790,0
413076,6210,13790,0
413081,6210,13790,0
413086,6210,13790,0
413091,6210,13790,0
413096,6210,13790,0
413101,6210,13790,0
413106,6210,13790,0
413111,6210,13790,0
413116,6210,13790,0
413121,6210,13790,0
413126,6210,13790,0
413131,6210,13790,0
413136,6210,13790,0
413141,6210,13790,0
413146,6210,13790,0
413151,6210,13790,0
413156,6210,13790,0
413161,6210,13790,0
413166,6210,13790,0
413171,6210,13790,0
413176,6210,13790,0
413181,6210,13790,0
413186,6210,13790,0
413191,6210,13790,0
413196,6210,13790,0
413201,6210,13790,0
413206,6210,13790,0
413211,6210,13790,0
413216,6210,13790,0
413221,6210,13790,0
413226,6210,13790,0
413231,6210,13790,0
413236,6210,13790,0
413241,6210,13790,0
413246,6210,13790,0
413251,6210,13790,0
413256,6210,13790,0
413261,6210,13790,0
413266,6210,13790,0
413271,6210,13790,0
413276,6210,13790,0
413281,6210,13790,0
413286,6210,13790,0
413291,6210,13790,0
413296,6210,13790,0
413301,6210,13790,0
413306,6210,13790,0
413311,6210,13790,0
413316,6210,13790,0
413321,6210,13790,0
413326,6210,13790,0
413331,6210,13790,0
413336,6210,13790,0
413341,6210,13790,0
413346,6210,13790,0
413351,6210,13790,0
413356,6210,13790,0
413361,6210,13790,0
413366,6210,13790,0
413371,6210,13790,0
413376,6210,13790,0
413381,6210,13790,0
413386,6210,13790,0
413391,6210,13790,0
413396,6210,13790,0
413401,6210,13790,0
413406,6210,13790,0
413411,6210,13790,0
413416,6210,13790,0
413421,6210,13790,0
413426,6210,13790,0
413431,6210,13790,0
413436,6210,13790,0
413441,6210,13790,0
413446,6210,13790,0
413451,6210,13790,0
413456,6210,13790,0
413461,6210,13790,0
413466,6210,13790,0
413471,6210,13790,0
413476,6210,13790,0
413481,6210,13790,0
413486,6210,13790,0
413491,6210,13790,0
413496,6210,13790,0
413501,6210,13790,0
413506,6210,13790,0
413511,6210,13790,0
413516,6210,13790,0
413521,6210,13790,0
413526,6210,13790,0
413531,6210,13790,0
413536,6210,13790,0
413541,6210,13790,0
413546,6210,13790,0
413551,6210,13790,0
413556,6211,13789,0
413561,6211,13789,0
413566,6211,13789,0
413571,6212,13788,0
413576,6212,13788,0
413581,6212,13788,0
413586,6212,13788,0
413591,6213,13787,0
413596,6213,13787,0
413601,6214,13786,0
413606,6214,13786,0
413611,6214,13786,0
413616,6216,13784,0
413621,6216,13784,0
413626,6217,13783,0
413631,6218,13782,0
413636,6218,13782,0
413641,6218,13782,0
413646,6218,13782,0
413651,6218,13782,0
413656,6219,13781,0
413661,6219,13781,0
413666,6219,13781,0
413671,6219,13781,0
413676,6219,13781,0
413681,6219,13781,0
413686,6219,13781,0
413691,6220,13780,0
413696,6220,13780,0
413701,6220,13780,0
